target,filer,ann_date,size_tier,target_1m,target_3m,target_6m,target_12m,target_18m,target_24m,SPY_1m,excess_SPY_1m,SPY_3m,excess_SPY_3m,SPY_6m,excess_SPY_6m,SPY_12m,excess_SPY_12m,SPY_18m,excess_SPY_18m,SPY_24m,excess_SPY_24m,IWM_1m,excess_IWM_1m,IWM_3m,excess_IWM_3m,IWM_6m,excess_IWM_6m,IWM_12m,excess_IWM_12m,IWM_18m,excess_IWM_18m,IWM_24m,excess_IWM_24m
FRPT,JANA,2022-06-01,small,-0.21897698015316702,-0.35463305042549287,-0.006375097474144331,-0.08569309178371298,0.06330621891261945,0.934025246114438,-0.06519484487053906,-0.15378213528262796,-0.031013845276826824,-0.32361920514866604,0.003742728552576402,-0.010117826026720733,0.06245279661363923,-0.1481458883973522,0.14813737563344653,-0.08483115672082708,0.33090069887782714,0.6031245472366109,-0.06728696812240575,-0.15169001203076127,-0.0015004001532235023,-0.35313265027226937,0.02483191471398638,-0.03120701218813071,0.0038537860355944975,-0.08954687781930748,0.0274159032822332,0.03589031563038625,0.12918076389843436,0.8048444822160037
MRCY,JANA,2023-09-01,small,-0.0780488024642062,-0.09653407092633681,-0.25982029887050684,-0.03620025211279865,0.1255455531159122,0.7632862377380012,-0.06230823469583757,-0.01574056776836863,0.02112071504005808,-0.11765478596639489,0.13263277118008077,-0.3924530700505876,0.23818452620003816,-0.2743847783128368,0.3026404272615886,-0.17709487414567637,0.4763178624651798,0.2869683752728214,-0.09906617059871914,0.021017368134512937,-0.0265767212976038,-0.06995734962873301,0.07642976513456778,-0.3362500640050746,0.13136297709519962,-0.16756322920799827,0.10095989213959711,0.024585660976315094,0.28001561450549217,0.483270623232509
HAIN,Engaged,2023-07-03,small,-0.10846152672400844,-0.2123077099139874,-0.12923079270582938,-0.4630769216097318,-0.5384615384615384,-0.8753846150178176,0.014286191291847272,-0.12274771801585571,-0.03373821661361098,-0.17856949330037641,0.07312076848393434,-0.20235156118976372,0.25999589489945896,-0.7230728165091908,0.34441345012057223,-0.8828749885821107,0.43502895249239626,-1.310413567510214,0.03975490345213717,-0.1482164301761456,-0.06801498118527316,-0.14429272872871424,0.07216309603990645,-0.20139388874573583,0.0903655689574403,-0.5534424905671721,0.2023217240129096,-0.740783262474448,0.20895263986913482,-1.0843372548869525
FCPT,Engaged,2022-02-01,small,-0.009255785544476702,0.013866014773662894,0.06936967223938839,0.1308947736913051,0.023674308826005186,-0.05491973721631105,-0.03806154678381346,0.028805761239336758,-0.07788149556160628,0.09174751033526918,-0.07819082289856494,0.14756049513795333,-0.06492645815771036,0.19582123184901545,0.010011535317061337,0.013662773508943848,0.12186411466495128,-0.17678385188126233,-0.007572718102840881,-0.0016830674416358216,-0.07129953458165439,0.08516554935531728,-0.06262786256353592,0.1319975348029243,-0.010680099574932322,0.1415748732662374,-0.025116073493641755,0.04879038231964694,-0.02823968708279001,-0.02668005013352104
MASI,Politan,2022-08-01,small,0.0327371069338811,-0.07431448999083878,0.17466682586927096,-0.17452861257564978,-0.07921808476948522,-0.2655570048425765,-0.03057645234884887,0.06331355928272997,-0.04905890946568969,-0.02525558052514909,-0.0018160614535620567,0.17648288732283302,0.1137147935329419,-0.28824340610859167,0.21957606523093243,-0.29879415000041765,0.33694737197591484,-0.6025043768184913,-0.01367682822401095,0.04641393515789205,-0.016414968316492584,-0.0578995216743462,0.03300830621681805,0.1416585196524529,0.059401267340297936,-0.2339298799159477,0.07008271964377455,-0.14930080441325977,0.1499948621339271,-0.4155518669765036
BLKB,Irenic,2023-01-03,small,0.05745786709166323,0.1536662924181187,0.18974452359642302,0.3938533228167389,0.25405049558251425,0.25622182104998026,0.09442773786012193,-0.0369698707684587,0.07722724720092033,0.07643904521719835,0.16321975289487756,0.026524770701545464,0.2456855410851848,0.1481677817315541,0.48966778520067655,-0.2356172896181623,0.6074826698561409,-0.3512608488061606,0.14371424062521276,-0.08625637353354954,0.014977104480169645,0.13868918793794904,0.06091396439971852,0.1288305591967045,0.13441799317638092,0.259435329640358,0.19025332997449373,0.06379716560802051,0.329561748334555,-0.07333992728457472
FWRD,Legion,2023-08-01,small,-0.3902350701633355,-0.39887343596001135,-0.6231931934307824,-0.7961690350594242,-0.7386237576492387,-0.7452537949990409,-0.011982906479839572,-0.3782521636834959,-0.08636532900319638,-0.31250810695681497,0.06586930129474977,-0.6890624947255322,0.20619813145177246,-1.0023671665111966,0.33639308451657657,-1.0750168421658153,0.4122952079171738,-1.1575490029162148,-0.04479273189883348,-0.345442338264502,-0.17150898984855834,-0.227364446111453,-0.016705046252437183,-0.6064881471783452,0.11001025493176741,-0.9061792899911916,0.15449985162161384,-0.8931236092708525,0.14484234019105657,-0.8900961351900974
NSC,Ancora,2024-01-02,large,0.08929447475762653,0.07478368780087985,-0.07141799723203546,0.01818036799620959,0.14672515386280938,0.2906258859650499,0.035015412667598556,0.054279062090027974,0.10234591130585824,-0.02756222350497839,0.17414174797822146,-0.24555974521025692,0.2528072231981031,-0.23462685520189352,0.33724832715683295,-0.19052317329402357,0.4998674118494464,-0.20924152588439648,-0.0204491513958045,0.10974362615343103,0.03424540706177526,0.04053828073910459,0.01697733580344818,-0.08839533303548364,0.12139816083369359,-0.103217792837484,0.12758277573110677,0.01914237813170261,0.3131818937891413,-0.022556007824091395
VTR,LandBuildings,2023-04-03,large,0.11556496071100764,0.15436851929702566,-0.040574416124520174,0.040243205652238156,0.5501287690342549,0.6131004433943466,-0.007129650065362925,0.12269461077637056,0.08231196395856899,0.07205655533845667,0.03333431081875715,-0.07390872694327733,0.26657717530377933,-0.22633396965154118,0.41056996146135094,0.13955880757290395,0.26097224815988374,0.3521281952344628,-0.03445728903645895,0.15002224974746659,0.043783846861533915,0.11058467243549175,-0.03395648905900017,-0.006617927065520002,0.15738038017735878,-0.11713717452512062,0.23521065098414895,0.31491811805010594,0.031507424767252434,0.5815930186270941
BME,Saba,2023-05-01,small,-0.05363027428955924,-0.043029411627727,-0.13154533964565174,-0.007910838317549906,0.04414228043184987,0.007691835140174241,0.00563187431738621,-0.05926214860694545,0.10268267719720559,-0.14571208882493258,0.007449124994943546,-0.13899446464059528,0.22162085632881778,-0.2295316946463677,0.4250395925572861,-0.3808973121254362,0.39333898632368136,-0.3856471511835071,-0.008727937483039905,-0.04490233680651934,0.13147603795590102,-0.17450544958362801,-0.06258227435176467,-0.06896306529388707,0.13523512782836122,-0.14314596614591113,0.28851513198538115,-0.24437285155353128,0.16363448392330304,-0.1559426487831288
ASG,Saba,2023-07-03,small,0.008544650058343928,-0.0706308049803116,0.0019545696078084873,0.0802032458052735,0.17945905772597404,0.20139124416143273,0.014286191291847272,-0.0057415412335033444,-0.03373821661361098,-0.03689258836670062,0.07312076848393434,-0.07116619887612585,0.25999589489945896,-0.17979264909418546,0.34441345012057223,-0.1649543923945982,0.43502895249239626,-0.23363770833096353,0.03975490345213717,-0.03121025339379324,-0.06801498118527316,-0.002615823795038441,0.07216309603990645,-0.07020852643209796,0.0903655689574403,-0.010162323152166808,0.2023217240129096,-0.022862666286935562,0.20895263986913482,-0.00756139570770209
HNRG,Voss,2023-06-01,small,0.1472582479609703,0.32347505533426557,0.5563771374821165,0.12384474957322622,0.4861368773587722,1.0714725742532138,0.05599178238568836,0.09126646557528195,0.07160114468005263,0.25187391065421294,0.0898277927739366,0.4665493447081799,0.26936368972867375,-0.14551894015544753,0.46088663986604494,0.025250237492727257,0.44444389311507915,0.6270286811381347,0.07127626712288371,0.0759819808380866,0.07675677836476535,0.24671827696950022,0.03047593529589876,0.5259012021862177,0.18087550788948903,-0.05703075831626281,0.4038922145714867,0.08224466278728548,0.21729787711219406,0.8541746971410198
AUPH,Blackwells,2022-03-01,small,0.03164030867602219,-0.06078272123218853,-0.3746877530591822,-0.255620365528033,-0.24479604313307657,-0.520399657026642,0.07010805253837993,-0.03846774386235774,-0.03666959288894878,-0.024113128343239754,-0.06699692250095401,-0.3076908305582282,-0.05980786546881156,-0.19581250005922146,0.07239706659508105,-0.3171931097281576,0.2291821905918694,-0.7495818476185114,0.04199598916614766,-0.010355680490125474,-0.06925545314794768,0.008472731915759146,-0.07027741264490239,-0.30441034041427983,-0.03954396439729124,-0.21607640113074178,-0.03466114346298255,-0.21013489967009402,0.061627846438901734,-0.5820275034655438
DAR,Impactive,2022-01-03,small,-0.08505147656757628,0.1603666260726926,-0.1865692389438226,-0.12084758382830452,-0.09994267029696524,-0.33834476650162526,-0.04262003531319791,-0.042431441254378366,-0.04080074128866962,0.2011673673613622,-0.19176632151885897,0.005197082575036371,-0.18363472395387548,0.06278714012557096,-0.060041849518752244,-0.039900820778213,0.01052596863608879,-0.34887073513771405,-0.10642641816836862,0.02137494160079234,-0.07545415168811809,0.23582077776081067,-0.23513151191229198,0.04856227296846938,-0.20957342661190714,0.08872584278360263,-0.16299714708719681,0.06305447679023157,-0.11696292170972955,-0.2213818447918957
AVGO,Sachem,2022-06-01,large,-0.16006844352087535,-0.12268090227111295,-0.023295879239846773,0.46172979601286834,0.6922342543457849,1.4430643946485713,-0.06519484487053906,-0.09487359865033629,-0.031013845276826824,-0.09166705699428612,0.003742728552576402,-0.027038607792423175,0.06245279661363923,0.3992769993992291,0.14813737563344653,0.5440968787123384,0.33090069887782714,1.1121636957707441,-0.06728696812240575,-0.09278147539846959,-0.0015004001532235023,-0.12118050211788944,0.02483191471398638,-0.04812779395383315,0.0038537860355944975,0.45787600997727385,0.0274159032822332,0.6648183510635517,0.12918076389843436,1.313883630750137
DIS,Nelson Peltz,2023-01-03,large,0.2724514935391571,0.1191412611745648,-0.002585056858172896,0.02118856617028464,0.10304627165759705,0.2635931184403151,0.09442773786012193,0.17802375567903517,0.07722724720092033,0.04191401397364447,0.16321975289487756,-0.16580480975305045,0.2456855410851848,-0.22449697491490017,0.48966778520067655,-0.3866215135430795,0.6074826698561409,-0.3438895514158258,0.14371424062521276,0.12873725291394433,0.014977104480169645,0.10416415669439516,0.06091396439971852,-0.06349902125789142,0.13441799317638092,-0.11322942700609628,0.19025332997449373,-0.08720705831689668,0.329561748334555,-0.0659686298942399
WDC,Elliott,2022-05-02,large,0.11795241298046566,-0.10107562663417935,-0.36257420930749573,-0.3870549262853821,-0.2258901944306182,0.3158382908041326,-0.011798095998992841,0.1297505089794585,-0.011236548677407088,-0.08983907795677226,-0.060336964185076725,-0.302237245122419,0.0010925935277410481,-0.3881475198131231,0.044535908021707815,-0.270426102452326,0.27263554302762016,0.04320274777651245,-0.014072434531517963,0.13202484751198362,0.003225226712619822,-0.10430085334679917,-0.011376046283254504,-0.35119816302424123,-0.06296187375636975,-0.3240930525290123,-0.09359159568192643,-0.13229859874869176,0.11290469041022377,0.20293360039390884
