newco,parent,ex_date,size_tier,entry_offset_days,newco_1m,newco_3m,newco_6m,newco_12m,newco_18m,newco_24m,SPY_1m,excess_SPY_1m,SPY_3m,excess_SPY_3m,SPY_6m,excess_SPY_6m,SPY_12m,excess_SPY_12m,SPY_18m,excess_SPY_18m,SPY_24m,excess_SPY_24m,IWM_1m,excess_IWM_1m,IWM_3m,excess_IWM_3m,IWM_6m,excess_IWM_6m,IWM_12m,excess_IWM_12m,IWM_18m,excess_IWM_18m,IWM_24m,excess_IWM_24m,entry_strategy
HWM,ARNC,2020-01-02,large,0,-0.04692474606049213,-0.48286510577117925,-0.36661324938525974,0.18072243064823934,0.4248099275309194,0.3185571843695747,-0.0023085945008598507,-0.04461615155963228,-0.22027002301501886,-0.2625950827561604,-0.029001904726661976,-0.33761134465859777,0.17235257898756529,0.008369851660674055,0.3689076243545979,0.0559023031763215,0.5091550229584836,-0.19059783858890889,-0.020870993480014866,-0.026053752580477263,-0.3480136177698112,-0.13485148800136804,-0.13479296826945864,-0.2318202811158011,0.19951148592829449,-0.018789055280055145,0.40695095794882574,0.017858969582093653,0.3738728807263685,-0.055315696356793786,T+0
VNT,FTV,2020-09-24,small,0,-0.10911718635998835,0.004412073179629328,-0.08176437326718222,0.02731980975485193,-0.27233647672552164,-0.4943729023785204,0.06887149566307449,-0.17798868202306284,0.14107207387911247,-0.13666000069948314,0.23329304403602902,-0.31505741730321124,0.3915397156912821,-0.36421990593643017,0.428472351762303,-0.7008088284878247,0.15929588270654937,-0.6536687850850698,0.13188016986785467,-0.24099735622784302,0.38655813419705387,-0.38214606101742454,0.5389368025212624,-0.6207011757884446,0.5630160530600501,-0.5356962433051982,0.4516146885307055,-0.7239511652562272,0.16522197652353987,-0.6595948789020603,T+0
OGN,MRK,2021-05-14,small,0,-0.04330819504887351,0.02887236429985962,0.05285582821611601,0.08615401677250634,-0.1967629369301419,-0.3366090458186032,0.01896389998250103,-0.06227209503137454,0.07393275363746588,-0.045060389337606255,0.12049991023056972,-0.06764408201445371,-0.02298128787797382,0.10913530465048016,-0.022603150330499755,-0.17415978659964215,0.014669007286579605,-0.3512780531051828,0.04382449033253932,-0.08713268538141283,0.0020007110213522417,0.02687165327850738,0.08743698090614771,-0.0345811526900317,-0.18661733904039424,0.2727713558129006,-0.13960653931167755,-0.05715639761846436,-0.20031033593519976,-0.13629870988340342,T+0
GXO,XPO,2021-07-22,small,0,0.4137615238854644,0.5708256992725058,0.6126605392596043,-0.19467891028168005,0.0,0.18532107291965305,0.018141997184300207,0.3956195267011642,0.042252996542301524,0.5285727027302043,0.03282936237504819,0.5798311768845561,-0.07980655377142809,-0.11487235651025196,-0.058768008721130305,0.058768008721130305,0.07807493734080917,0.10724613557884388,-0.013773978883155902,0.4275355027686203,0.04360402125487828,0.5272216780176275,-0.07577997602714004,0.6884405152867443,-0.16975880580789937,-0.02492010447378068,-0.12509091383536775,0.12509091383536775,-0.08375296463799298,0.26907403755764603,T+0
SLVM,IP,2021-09-23,small,0,0.10560002841193583,0.09600015776820148,0.40839963709898774,0.4024736824626387,0.8977475942697017,0.7883382492186077,0.022428788172686343,0.08317124023924949,0.05901225839079749,0.03698789937740399,0.023234494026393326,0.3851651430725944,-0.15718706616120393,0.5596607486238426,-0.08416194284769951,0.9819095371174013,-0.009138194339855965,0.7974764435584637,0.01462974216536872,0.09097028624656711,-0.014196365472747718,0.1101965232409492,-0.07700809817747589,0.48540773527646364,-0.24780067093399305,0.6502743533966318,-0.20850110106072084,1.1062486953304225,-0.19955404140339972,0.9878922906220075,T+0
KD,IBM,2021-10-22,small,0,-0.5460122699386503,-0.5933742406178106,-0.6986503133013204,-0.771533732033946,-0.6576687163370518,-0.6579141207267902,0.03189001121112223,-0.5779022811497725,-0.02589770653454815,-0.5674765340832625,-0.04804146395704467,-0.6506088493442758,-0.15121158643110322,-0.6203221456028428,-0.0864726577008258,-0.571196058636226,-0.04983002769536926,-0.608084093031421,0.018996681200426968,-0.5650089511390772,-0.11111135574336839,-0.48226288487444224,-0.1433047556297754,-0.555345557671545,-0.22750882789038795,-0.5440249041435581,-0.23028778720251164,-0.4273809291345402,-0.2592370319197511,-0.3986770888070391,T+0
WBD,T,2022-01-03,large,0,0.09317017834425112,0.018555045983818852,-0.436636379757406,-0.5902092323053505,-0.504934859864844,-0.5578365636399711,-0.042619770206169805,0.13578994855042092,-0.04080054365510544,0.05935558963892429,-0.1917662120519018,-0.24487016770550418,-0.18363454566570836,-0.40657468663964214,-0.060041789930935896,-0.4448930699339081,0.010526105501460492,-0.5683626691414316,-0.10642656109629145,0.19959673944054257,-0.07545400876019537,0.09400905474401422,-0.2351315833762534,-0.2015047963811526,-0.20957335514794573,-0.38063587715740477,-0.1629970756232354,-0.3419377842416086,-0.11696285024576814,-0.440873713394203,T+0
EMBC,BDX,2022-03-22,small,0,-0.34936168262405654,-0.3959574695296123,-0.35209572828352453,-0.36426484052193775,-0.667712847447552,-0.7203981845466352,-0.025645701136101207,-0.32371598148795533,-0.16366635439068167,-0.23229111513893064,-0.15350162761303987,-0.19859410067048466,-0.11067574992862605,-0.2535890905933117,-0.019355324640296767,-0.6483575228072552,0.1927103164412589,-0.9131085009878941,-0.04487315687325932,-0.3044885257507972,-0.1875037151599478,-0.2084537543696645,-0.15109569088006802,-0.2010000374034565,-0.16458108128032756,-0.1996837592416102,-0.13067740461060084,-0.5370354428369511,0.022442359729916594,-0.7428405442765518,T+0
ESAB,CFX,2022-03-29,small,0,-0.020600070645704016,-0.13840011854240808,-0.32922167082119635,0.17312801458102567,0.4133200037605489,1.223574850593621,-0.07310151571018819,0.052501445064484176,-0.1723909058087446,0.03399078726633653,-0.1904249929200338,-0.13879667790116257,-0.11051937290470204,0.2836473874857277,-0.05129123700372895,0.46461124076427784,0.1597251554675332,1.0638496951260878,-0.10042026202841026,0.07982019138270624,-0.1916308768859376,0.05323075834352953,-0.19101950661341105,-0.1382021642077853,-0.15913640267424012,0.3322644172552658,-0.14530625673027275,0.5586262604908216,-0.0049647456300385695,1.2285395962236596,T+0
RXO,XPO,2022-10-27,small,0,-0.10999997456868493,-0.1638095492408389,-0.11952382042294452,-0.14523805890764507,-0.09523809523809523,0.38380949837820877,0.041923517547778344,-0.15192349211646328,0.059080696315991554,-0.22289024555683046,0.10271886287285392,-0.22224268329579844,0.11093306935386194,-0.256171128261507,0.34710444571548993,-0.44234254095358516,0.5714180390535657,-0.18760854067535693,0.015355350412324942,-0.12535532498100987,0.0486486192899358,-0.2124581685307747,-0.013017994992284398,-0.10650582543066012,-0.07478540110473897,-0.0704526578029061,0.12045674369910819,-0.21569483893720343,0.2717413631774499,0.11206813520075887,T+0
