signal_type,cik,ticker,company,filed_date,first_trade_date,entry_date,resolved_ticker,has_prices,notes,ret_1m,ret_3m,ret_6m,ret_12m,ret_18m,ret_24m,excess_SPY_1m,excess_SPY_3m,excess_SPY_6m,excess_SPY_12m,excess_SPY_18m,excess_SPY_24m,excess_IWM_1m,excess_IWM_3m,excess_IWM_6m,excess_IWM_12m,excess_IWM_18m,excess_IWM_24m
activist_13d,0000856982,MMSI,MERIT MEDICAL SYSTEMS INC  (MMSI)  (CIK 0000856982),2021-10-18,,2021-10-18,True,True,filer_cik=0001517137,-0.0013003372212270214,-0.19505852013554992,0.004334677874965109,-0.1515676636690344,0.1187689832313159,-0.06487498805323444,-0.05069777766799888,-0.21944148498234672,0.002543449420668864,0.005958225440610199,0.1759131201341938,-0.048119952954623235,-0.06333669433795341,-0.12142989321791642,0.1041449591744058,0.06448520980525096,0.31395717782314514,0.16412258191383522
activist_13d,0001372612,BXCAP,BOX INC  (BOX)  (CIK 0001372612),2021-10-14,,2021-10-14,True,False,filer_cik=0001517137 | no price data,,,,,,,,,,,,,,,,,,
activist_13d,0000849399,GENVR,NortonLifeLock Inc.  (GEN)  (CIK 0000849399),2020-08-05,,2020-08-05,True,False,filer_cik=0001517137 | no price data,,,,,,,,,,,,,,,,,,
activist_13d,0001585364,PRGO,PERRIGO Co plc  (PRGO)  (CIK 0001585364),2019-08-16,,2019-08-16,True,True,filer_cik=0001517137,0.21202839882272917,0.044972205470112714,0.287650085745899,0.2054641296575752,-0.021575860655891455,-0.06409509758178411,0.1702419877922614,-0.031640455384553734,0.11074791421155084,0.012265442230485313,-0.4186260146900457,-0.6554054587494208,0.1524170280559256,-0.022482090497752294,0.15230912742087965,0.12767951694055135,-0.5615719861167751,-0.5564786340528386
activist_13d,0001683606,CARS,Cars.com Inc.  (CARS)  (CIK 0001683606),2019-08-07,,2019-08-07,True,True,filer_cik=0001517137,-0.03643721179224069,0.19939273726823092,0.34716601876981623,-0.07388668901366235,0.36538457640306676,0.319838037531331,-0.07144046930046066,0.1282820059883667,0.17630857119286958,-0.25805139424868007,-0.019221253395201865,-0.270762895175515,-0.040321426000070826,0.1298143926965727,0.22118638843073146,-0.11835942928741894,-0.15100751260202028,-0.2136323390521775
activist_13d,0001356104,,"Mellanox Technologies, Ltd.  (CIK 0001356104)",2019-03-12,,2019-03-12,False,False,filer_cik=0001517137 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001058057,,MARVELL TECHNOLOGY GROUP LTD  (CIK 0001058057),2019-02-14,,2019-02-14,False,False,filer_cik=0001517137 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001835268,CNTB,Connect Biopharma Holdings Ltd  (CNTB)  (CIK 0001835268),2023-12-20,,2023-12-20,True,True,filer_cik=0001346824,0.4588234997125653,0.5058822770432225,0.5882352776180919,0.11882346885839712,0.14235292764683538,2.2117646382341767,0.4233732075608374,0.38934583431780534,0.42182645163182286,-0.1598100054468896,-0.1890023250238615,1.7009652633733818,0.4604030840629194,0.45844646020711943,0.5575952136889093,-0.025106274697390463,0.026411484139087227,1.8944726437324433
activist_13d,0001785173,,"89bio, Inc.  (ETNB)  (CIK 0001785173)",2023-12-13,,2023-12-13,False,False,filer_cik=0001346824 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001768446,CLYM,"Eliem Therapeutics, Inc.  (ELYM)  (CIK 0001768446)",2023-11-17,,2023-11-17,True,True,filer_cik=0001346824,0.08661418579303093,0.06692916490042933,2.0866142796586145,0.2795275782716944,-0.5354330845394748,-0.33070863259245853,0.028992552551035944,-0.04051766166538018,1.8994274340661614,-0.04765896140820236,-0.8457727822741226,-0.8304365589935293,-0.0403698964713326,-0.04735503003132524,1.910806135224601,-0.030166087394492003,-0.6917278566651204,-0.6831533089591856
